Individual,#,,PetalLength,PetalWidth,StyleMidWidth,StyleBasalWidth,PistiltLength,PistilWidth,CanalLength,
IT30,81,Dried,43.74,11.05,2.83,4.00,27.34,7.98,6.12,
IT30,82,Dried,49.65,13.60,2.36,2.86,23.15,6.22,5.44,
IT36,83,Dried,48.37,12.09,2.28,5.61,22.97,6.90,11.07,
IT36,84,Dried,50.30,12.57,2.77,5.05,22.54,7.04,10.32,
IT36,85,Dried,46.24,11.62,4.04,5.75,23.19,6.97,10.76,
IT36,86,Dried,45.95,11.76,3.18,3.78,22.76,7.30,9.24,
IT36,87,Dried,45.94,10.12,3.82,5.58,24.96,6.93,10.40,
IT38,88,Dried,49.20,10.20,2.00,3.18,20.74,5.88,6.17,
IT38,89,Dried,47.36,10.78,2.06,3.51,21.55,5.96,6.62,
IT38,90,Dried,42.08,12.77,2.66,3.94,22.70,7.17,4.73,
IT38,91,Dried,40.54,12.12,3.14,4.13,23.78,7.38,5.13,
IT38,92,Dried,42.69,10.06,2.11,3.71,20.98,5.86,6.20,
IT41,93,Dried,41.27,13.50,3.64,5.34,25.28,9.06,6.40,
IT41,94,Dried,45.13,12.25,2.74,4.09,27.63,9.06,5.08,
IT41,95,Dried,44.53,11.53,2.10,2.95,20.93,5.88,3.20,
IT41,96,Dried,42.24,13.62,2.71,3.56,23.47,6.56,5.03,
IT41,97,Dried,46.19,12.10,2.81,3.45,19.27,5.75,5.35,
IT43,98,Dried,37.15,10.51,3.23,4.60,25.61,8.51,6.36,
IT43,99,Dried,52.33,8.20,2.20,3.07,22.71,5.72,6.31,
IT43,100,Dried,48.34,6.33,1.92,2.99,22.85,5.48,5.32,
IT43,101,Dried,41.73,7.30,1.74,3.01,21.84,5.27,5.05,
IT43,102,Dried,42.66,8.36,1.50,2.67,23.95,8.19,4.99,
IT44,103,Dried,45.37,11.32,2.27,3.05,17.57,3.77,6.16,
IT44,104,Dried,41.51,10.32,1.61,2.51,18.11,4.09,5.05,
IT44,105,Dried,41.63,10.52,1.61,2.91,17.88,3.94,6.64,
IT44,106,Dried,43.52,9.42,2.01,2.62,16.78,4.22,5.23,
IT44,107,Dried,39.63,10.15,1.67,2.36,17.16,3.83,5.58,
IT48,108,Dried,57.74,8.55,2.11,3.65,19.31,5.19,6.09,
IT48,109,Dried,46.26,10.60,2.55,3.59,18.31,5.37,4.26,
IT48,110,Dried,55.25,8.68,2.07,2.96,18.69,4.99,4.82,
IT48,111,Dried,45.92,9.91,2.00,3.42,19.25,5.06,5.01,
IT48,112,Dried,51.67,10.35,2.07,3.23,19.52,5.02,5.25,
IT50,113,Dried,47.93,8.30,2.10,3.37,19.28,5.58,6.56,
IT50,114,Dried,46.76,9.71,1.77,2.37,20.90,6.03,5.85,
IT50,115,Dried,51.78,12.07,1.86,3.19,21.27,5.62,6.11,
IT50,116,Dried,50.70,11.22,2.35,2.53,21.13,5.80,5.70,
IT50,117,Dried,52.78,10.48,2.01,3.02,21.97,5.06,6.29,
IT61,121,Dried,54.21,10.68,3.07,3.92,16.37,5.30,6.07,
IT61,122,Dried,46.77,8.54,3.65,4.46,19.72,8.58,5.75,
IT62,123,Dried,38.89,7.16,1.26,2.22,22.28,4.72,4.92,
IT62,124,Dried,42.83,8.69,1.77,2.58,19.30,5.34,4.00,
IT62,125,Dried,41.45,8.59,2.80,3.54,22.24,5.65,4.88,
